AREACD,AREANM,Male 0-4,Male 5-9,Male 10-14,Male 15,Male 16,Male 17,Male 18,Male 19,Male 20,Male 21,Male 22,Male 23,Male 24,Male 25-29,Male 30-34,Male 35-39,Male 40-44,Male 45-49,Male 50-54,Male 55-59,Male 60-64,Male 65-69,Male 70-74,Male 75-79,Male 80-84,Male 85-89,Male 90+,Female 0-4,Female 5-9,Female 10-14,Female 15,Female 16,Female 17,Female 18,Female 19,Female 20,Female 21,Female 22,Female 23,Female 24,Female 25-29,Female 30-34,Female 35-39,Female 40-44,Female 45-49,Female 50-54,Female 55-59,Female 60-64,Female 65-69,Female 70-74,Female 75-79,Female 80-84,Female 85-89,Female 90+
E07000221,Stratford-on-Avon,5.1,5.5,5.9,1.1,1.1,1.1,1.1,0.9,0.7,0.8,1,1.1,1.1,5.3,5,5.3,5.2,6.8,7.6,7.6,6.6,6.3,6.9,4.8,3.5,1.8,0.8,4.6,5.1,5.2,1,0.9,1,0.9,0.6,0.6,0.7,0.8,1,1,4.5,5,5.4,5.5,7.2,7.7,7.6,6.6,6.2,7,5.2,3.9,2.5,1.9
E07000222,Warwick,5.4,5.6,5.5,1.1,0.9,1.1,1.1,1.7,2.3,2.3,1.8,1.1,1.5,9,5.9,6,6,6.5,6.7,6.3,5.2,4.6,4.8,3.2,2.4,1.4,0.7,5.1,5.4,5.3,1,1,0.9,1,1.4,2.1,2.1,1.9,1.2,1.3,7.4,5.3,6,6,6.7,6.8,6.3,5.2,5,5.1,4,3,2,1.5
E08000025,Birmingham,7.4,7.6,7.2,1.4,1.3,1.3,1.4,1.7,1.9,1.9,1.9,1.8,1.8,8.8,7.3,6.6,5.9,5.8,5.7,5.1,4.2,3.6,3,2.2,1.7,1,0.5,6.9,6.9,6.7,1.2,1.2,1.2,1.3,1.9,2,1.9,1.8,1.8,1.7,8.3,7.1,6.7,5.9,5.8,5.8,5.3,4.3,3.7,3.3,2.6,2.2,1.5,1
E08000026,Coventry,6.2,6.7,5.8,1,1,1,1.2,2.3,2.3,2.3,2.3,2.5,2.3,10.6,8.6,6.6,5.4,5.4,5.3,4.9,4.1,3.5,3.2,2.4,1.7,0.9,0.5,6.1,6.4,5.6,1.1,1,1,1.3,2,1.9,1.9,2.1,2.3,2.1,10.1,8,6.5,5.4,5.6,5.6,5,4.3,3.7,3.7,2.9,2.2,1.4,0.9
E08000027,Dudley,6.1,6.5,6.3,1.3,1.1,1.2,1.2,1,1,1,1.1,1.2,1.2,6.2,6.2,6.1,5.7,6.9,7.3,6.7,5.6,5.2,5.2,4,2.7,1.4,0.6,5.6,6.1,5.9,1.1,1.1,1.1,1.1,0.9,0.9,1,1.1,1.2,1.1,6.2,6.4,6.2,5.6,6.7,7.2,6.5,5.5,5.3,5.4,4.3,3.4,2.1,1.2
E08000028,Sandwell,7.4,7.6,7.1,1.3,1.2,1.3,1.2,1.2,1.1,1.2,1.3,1.2,1.3,7.1,7.4,7.2,6.2,6.6,6.5,5.9,4.9,4,3.6,2.7,1.9,1,0.4,6.9,7.1,6.7,1.2,1.2,1.1,1.1,0.9,0.9,1,1.1,1.2,1.2,6.8,7.5,7.5,6.1,6.5,6.8,5.9,4.8,4.2,3.9,3.3,2.5,1.6,1
E08000029,Solihull,5.9,6.9,6.8,1.3,1.3,1.2,1.1,1,0.9,1,1.1,1.1,1.2,5.9,5.7,5.7,5.6,6.8,7.4,6.9,5.7,5.1,5.5,3.9,2.6,1.5,0.8,5.4,6.1,5.9,1.1,1.1,1,1.1,0.8,0.8,0.8,1,1.1,1.1,5.6,5.7,6.1,5.9,6.8,7.3,7.1,5.5,5.3,5.7,4.3,3.4,2.3,1.6
E08000030,Walsall,7,7.3,6.9,1.3,1.3,1.2,1.2,1.2,1.1,1.2,1.2,1.2,1.3,6.6,6.8,6.5,5.9,6.6,6.7,6.3,5.1,4.5,4.3,3.2,2.4,1.2,0.5,6.7,6.7,6.4,1.2,1.2,1.2,1.1,1,1,1.1,1.2,1.2,1.2,6.8,6.9,6.5,5.5,6.4,6.6,6.2,5.1,4.6,4.5,3.8,3,1.9,1
E08000031,Wolverhampton,6.9,7.3,6.6,1.2,1.2,1.1,1.2,1.1,1.2,1.2,1.3,1.3,1.5,7.3,7.3,6.9,6.1,6.7,6.6,6,5,4.4,3.8,3,2.1,1.3,0.6,6.6,7,6.2,1.1,1.1,1,1,0.9,1,1.1,1.2,1.2,1.2,7,7.3,6.6,5.8,6.7,6.6,6.2,5.1,4.6,4.1,3.5,2.8,1.9,1.1
E07000234,Bromsgrove,5.3,6.2,6.3,1.2,1.1,1.1,1.1,0.9,0.8,0.8,1,1.1,1,5.4,5.8,5.6,5.9,7.2,7.8,7,6.2,5.8,5.7,4.1,3.1,1.7,0.8,5.2,5.8,5.8,1.1,1,1,1,0.6,0.6,0.6,0.8,1,0.9,5.2,5.4,6,6.1,7.2,7.8,7.1,5.8,5.8,5.9,4.6,3.4,2.5,1.9
E07000235,Malvern Hills,4.3,5.4,5.7,1.2,1.2,1,1,0.9,0.6,0.8,0.9,1,1,4.8,4.1,4.3,5.1,6.4,7.8,8,7.3,7.2,7.6,5.4,3.8,2.2,1,4,4.9,5.3,1.1,1.1,1.1,1,0.7,0.6,0.6,0.8,0.9,0.9,4.3,4.3,4.8,5.3,6.4,7.8,7.8,7,7.2,7.4,5.6,4.1,2.8,2.2
E07000236,Redditch,6.4,6.8,6.4,1.2,1.1,1.2,1.1,1,1,0.9,1.2,1.1,1.1,6.5,6.8,7.1,6.6,6.6,6.6,6.3,5.6,5.7,5.2,3.3,1.9,1,0.4,6,6.3,6.1,1.1,1,1,1,0.8,0.8,0.8,1.1,1.1,1.1,6.3,6.8,7.6,6.1,6.7,6.8,6.2,6.1,5.8,5.3,3.4,2.3,1.5,1.1
E07000237,Worcester,5.8,6.2,5.9,1.2,1.1,1.2,1.1,1.3,1.5,1.7,1.6,1.3,1.4,8.1,6.4,6.5,6,6.7,7.1,6.6,5.2,4.6,4.5,3,2.1,1.2,0.4,5.4,5.8,5.6,0.9,1,1,1.1,1.7,1.8,1.8,1.5,1.4,1.3,7.6,6.3,6.5,5.9,6.5,6.8,6,5.2,4.9,4.7,3.5,2.6,1.9,1.1
E07000238,Wychavon,5.1,5.7,5.8,1.1,1.1,1,1,0.8,0.8,0.9,0.9,1,1,5.1,5.1,5.1,5.2,6.7,7.7,7.8,6.7,6.8,6.9,4.8,3.2,1.7,0.9,4.7,5.4,5.3,1.1,1,1.1,0.9,0.6,0.7,0.8,0.8,1,0.9,4.5,5.2,5.5,5.5,7,7.9,7.5,6.8,6.7,7,4.8,3.4,2.4,1.8
E07000239,Wyre Forest,5.4,6,5.6,1.1,1.1,1,1,0.8,0.9,1,1.1,1.1,1,5.7,5.6,5.3,5.5,6.8,7.5,6.9,6.1,6.3,7.1,4.8,3.1,1.6,0.7,5.1,5.4,5.1,0.9,1,1,0.9,0.8,0.8,0.9,0.9,0.9,0.9,5.4,5.6,5.4,5.4,6.9,7.6,7,6.1,6.6,7.1,5.1,3.6,2.2,1.6
E06000055,Bedford,7,7.1,6.7,1.3,1.3,1.3,1.2,1,0.9,1,1.1,1.3,1,5.7,5.9,6.6,6.5,6.9,7.4,6.6,5.6,4.7,4.6,3.1,2.2,1.3,0.6,6.3,6.6,6.1,1.1,1.1,1.1,1.1,0.9,0.8,0.9,1,1.1,0.9,5.6,6.5,7.2,6.6,6.8,7.1,6.6,5.6,4.9,4.8,3.3,2.7,2,1.3
E06000056,Central Bedfordshire,6.5,6.8,6.2,1.1,1.1,1.1,1.1,0.9,0.8,0.9,1,1.1,1.1,5.9,7,6.7,6.5,7,7.4,6.9,5.8,4.8,4.8,3.2,2.3,1.2,0.6,5.9,6.3,5.9,1.1,1.1,1,1,0.7,0.7,0.7,0.8,1,1,5.8,7.3,7.2,6.7,7,7.4,6.9,5.6,5.1,5.1,3.5,2.6,1.6,0.9
E06000032,Luton,8.1,8.2,7.2,1.3,1.3,1.3,1.1,1,1.1,1.1,1.2,1.2,1.2,7.5,8.9,8.2,6.9,6.1,5.8,5.5,4.3,3.4,2.9,2,1.8,0.9,0.4,8.1,8,6.9,1.2,1.2,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,6.9,8,8,6.5,5.9,6.1,5.7,4.4,3.7,3.2,2.5,2.2,1.4,0.9
E06000031,Peterborough,7.9,8.2,6.7,1.2,1.1,1.2,1.1,1,0.8,1,1.1,1.2,1.2,7.1,8,7.7,6.7,6.6,6.5,5.7,4.6,4,3.7,2.4,1.8,1,0.5,7.4,7.7,6.5,1.2,1,1.1,1.1,0.8,0.8,0.9,1,1.1,1.1,6.4,7.8,7.8,6.5,6.4,6.5,5.8,5,4.5,4,2.8,2.3,1.6,1
E06000033,Southend-on-Sea,6.2,6.6,6.3,1.2,1.1,1.1,1.1,0.9,0.8,1,1.1,1.1,1.2,5.7,6.3,6.9,6.6,7.3,7.2,6.9,5.5,4.9,5.1,3.3,2.4,1.5,0.7,5.9,6.2,5.9,1,0.9,1,1.1,0.8,0.9,0.9,1,1.1,1,5.6,6.4,6.7,6.6,7.1,7.1,6.5,5.3,5.1,5.4,3.8,3,2,1.7
E06000034,Thurrock,8,7.8,7.1,1.3,1.2,1.2,1.2,1,1,1,1.2,1.2,1.1,6.3,7.3,7.4,7.2,7.1,7.2,6,4.7,4.1,3.7,2.3,1.5,0.8,0.4,7.3,7.3,6.8,1.2,1.1,1.1,1,0.9,0.9,0.9,1,1.1,1.1,6.7,8.2,7.9,7.2,6.8,6.7,5.6,4.4,4.1,4,2.7,2,1.3,0.7
E07000008,Cambridge,5.5,5.8,5.2,0.9,0.9,1,1.4,3,3.5,3.6,3.3,2.9,2.7,11.3,7.1,5.5,5.4,5.3,5.5,4.8,3.9,3.3,2.9,2.1,1.6,1,0.6,5.6,5.6,5.2,1,0.9,0.9,1.4,3.5,3.9,3.7,3.2,2.7,2.3,8.5,4.9,5.9,5.5,5.7,5.6,4.9,4.3,3.9,3.4,2.5,2.1,1.6,1.3
E07000009,East Cambridgeshire,5.7,6.8,6.9,1.2,1.3,1.2,1,0.9,0.9,0.9,0.9,1,1,4.8,5.3,6.5,6.7,7.5,7.5,6.9,5.8,5.3,5.6,3.8,2.6,1.4,0.6,5.3,6.5,6,1.1,1,1,0.9,0.7,0.7,0.6,0.8,1,0.9,4.8,6.2,7,6.8,7.3,7.4,6.8,5.8,5.6,5.7,3.8,2.9,1.9,1.5
E07000010,Fenland,5.9,6.1,5.5,1.1,1,1,1.1,0.9,1,1.1,1.1,1.2,1.1,6.1,6.3,5.7,5.5,6.4,7.2,7.1,6.2,6.1,6.3,4.1,2.9,1.6,0.7,5.4,5.8,5,1.1,1,1,1,0.8,0.8,0.9,1,1.1,1.1,5.7,6.1,5.9,5.2,6.6,7.2,7,6.3,6.2,6.3,4.4,3.4,2.3,1.7
E07000011,Huntingdonshire,5.8,6.3,5.9,1.1,1.1,1.1,1.1,0.8,0.9,0.9,1.1,1,1.1,5.7,6.7,6.2,6.3,7.2,7.7,7.1,6,5.2,5.7,3.7,2.4,1.3,0.6,5.4,5.9,5.5,1,1,1.1,1,0.7,0.7,0.8,0.8,1,1,5.7,6.4,6.6,6.2,7.2,7.6,7.2,6,5.7,5.8,4,2.9,1.8,1.3
E07000012,South Cambridgeshire,5.8,6.8,6.9,1.3,1.2,1.2,1.2,0.8,0.7,0.7,0.9,0.9,1,4.8,5.7,6.5,7.3,7.6,7.5,6.9,5.8,5,5.3,3.4,2.5,1.4,0.7,5.6,6.4,6.3,1.2,1.2,1.1,1.1,0.7,0.6,0.6,0.7,0.9,0.9,4.4,5.8,6.9,7.2,7.6,7.5,6.8,5.5,5.3,5.5,3.9,2.9,2,1.4
E07000066,Basildon,7.3,7.1,6.7,1.2,1.2,1.2,1.1,1.1,1,1,1.1,1.2,1.2,6.4,7,6.6,6.4,6.7,7.1,6.4,5.4,4.4,4.5,2.9,2.1,1.2,0.5,6.5,6.5,5.9,1.1,1,1.1,1,0.8,0.9,1,1,1.2,1,6.5,7.2,7,6.3,6.6,7,6.4,5.3,4.7,4.9,3.4,2.8,1.8,1.1
E07000067,Braintree,5.9,6.6,6.5,1.1,1.2,1.2,1.2,0.9,1,1,1.1,1.1,1,5.5,5.8,6.2,5.9,7.3,7.7,7,5.9,5.4,5.5,3.7,2.5,1.3,0.7,5.3,5.8,6.1,1.1,1,1,1,0.8,0.6,0.8,0.9,0.9,1,5.5,6.3,6.3,6.1,7.1,7.7,7,6,5.6,6,3.9,2.8,1.9,1.4
E07000068,Brentwood,6.2,6.4,6.1,1.3,1.2,1.2,1.2,0.8,0.8,0.8,1,1,1.3,6,6,5.8,6.6,6.8,7.8,7.3,5.7,4.9,5.3,3.3,2.7,1.7,0.9,5.3,5.3,5.7,1.2,1.1,1.1,1,0.7,0.7,0.9,0.9,1.1,1,5.8,5.9,6.6,6.4,7,7.6,7.1,5.6,4.9,5.4,3.9,3.5,2.5,1.7
E07000069,Castle Point,5.3,5.7,5.7,1.2,1.2,1,1.2,1,1,1.1,1.1,1.3,1.2,5.8,5.5,5.1,5.2,6.3,7.5,7.1,6.3,6,7.1,4.7,3.2,1.7,0.7,4.6,5.4,5.3,1,1,1,1,0.9,0.9,0.9,1,1,0.9,5.2,5.3,5.5,5.3,6.4,7.2,6.8,6.2,6.6,7.6,5.4,4,2.4,1.2
E07000070,Chelmsford,6,6.5,6.4,1.2,1.2,1.1,1.1,0.9,0.9,0.9,1.1,1.1,1.2,6.3,6.6,6.6,6.6,7.3,7.2,6.6,5.5,4.8,5,3.2,2.5,1.5,0.6,5.4,5.9,5.8,1.1,1.1,1,1.1,0.8,0.8,0.9,1,1.1,1.1,6,6.5,6.8,6.5,7,7.2,6.5,5.6,5,5.7,3.8,3,1.9,1.2
E07000071,Colchester,6,6.5,5.9,1,1,1,1.2,1.8,2,1.9,1.7,1.6,1.4,8,6.8,6.5,6.2,6.5,6.6,5.9,4.7,4.3,4.6,3,2.2,1.2,0.5,5.7,6,5.5,1.1,1,0.9,1.1,1.5,1.8,1.5,1.4,1.3,1.2,7.6,7.1,6.6,6,6.3,6.7,6,5,4.8,5.2,3.5,2.5,1.7,1
E07000072,Epping Forest,6.5,6.4,6.2,1.1,1.1,1.1,1.1,0.9,0.9,1,1.1,1.2,1.2,6.2,5.8,6.3,6.2,6.9,7.5,7.1,5.8,5,5.1,3.4,2.6,1.5,0.8,5.7,5.8,5.3,1.1,1,1,1,0.8,0.7,0.8,1,1,1.1,5.8,6.3,6.7,6.4,7,7.8,7.1,5.7,5.1,5.3,3.8,3.1,2.2,1.5
E07000073,Harlow,7.8,8,6.9,1.2,1.1,1.2,1,1,1.1,1.2,1,1.1,1.3,6.2,7.6,7.5,6.5,6.1,6.7,6.4,5.2,4.1,3.6,2.4,1.9,1.2,0.5,7.1,7.4,6,1.1,1,1,1,0.7,0.8,0.9,1,1.1,1.1,6.7,7.8,7.6,6.4,6.2,6.6,6.2,5.4,4.4,4,3,2.6,1.9,1.1
E07000074,Maldon,4.8,5.5,5.7,1.1,1.1,1.1,1,0.9,1,1,1,1.1,1,4.7,4.5,4.5,5.3,6.7,8.4,7.9,7.3,6.9,7.3,4.7,3.2,1.7,0.6,4.3,5,5.3,0.9,1.1,1,1,0.7,0.9,0.7,0.9,0.9,0.9,4.4,4.6,5,5.6,7.4,8.4,7.7,7.1,6.7,7.5,4.8,3.5,2.2,1.5
E07000075,Rochford,4.9,5.9,6.2,1.2,1.1,1.1,1.1,0.9,0.9,1.1,1.2,1,1.2,5.6,5.4,5.4,5.8,7.1,7.7,7.2,6.3,5.6,6.4,4.1,3,1.8,0.7,4.6,5.2,5.5,1.1,1,1,1,0.9,0.8,0.9,0.9,1,1.1,5.1,5.1,5.7,5.9,7.2,7.7,7.2,6.1,6,6.8,4.7,3.7,2.2,1.4
E07000076,Tendring,5.1,5.7,5.4,1.2,1,1,1.1,0.9,1,1,1,1.1,1.1,5.1,4.5,4.3,4.3,5.7,7,7.2,7,7.1,8.2,5.8,4,2.1,1,4.5,5.1,5,0.9,0.9,0.8,0.9,0.8,0.7,0.8,0.9,0.9,0.8,4.7,4.5,4.4,4.7,5.8,7,7.4,7.1,7.5,8.7,5.9,4.3,2.9,1.9
E07000077,Uttlesford,6,6.8,6.6,1.3,1.3,1.3,1.2,0.9,0.7,0.9,1,1,1,5,5.2,5.8,6.3,7.5,8.1,7.4,6.1,5.2,5.3,3.6,2.4,1.4,0.6,5.6,6.1,6.1,1.3,1.2,1.3,1.1,0.6,0.6,0.7,0.9,0.9,1,4.7,5.6,6.4,6.6,7.6,7.9,7.4,6,5.2,5.4,3.8,2.7,2,1.6
E07000095,Broxbourne,6.9,7,6.6,1.1,1.3,1.3,1.2,1,1,1.1,1.2,1.2,1.2,6.4,6.4,6.5,6.4,6.4,7.4,6.5,5.3,4.3,4.6,3.2,2.5,1.4,0.6,6.2,6.3,5.8,1.1,1,1,1,0.8,0.8,0.9,1,1,1.1,5.9,6.8,7.3,6.3,6.9,7.5,6.6,5.4,4.5,4.9,3.5,3.1,2,1.1
E07000096,Dacorum,6.7,7.1,6.6,1.2,1.1,1.2,1.2,0.8,0.6,0.9,1,1.1,1.1,5.8,6.5,7.1,7,7.2,7.1,6.9,5.8,4.7,4.3,2.8,2.1,1.3,0.6,6.1,6.4,5.9,1.1,1.1,1.1,1.2,0.6,0.6,0.7,0.9,1,1,5.7,7,7.5,7,7,7,6.7,5.8,4.7,4.7,3.3,2.7,2,1.3
E07000242,East Hertfordshire,6,6.7,6.7,1.4,1.2,1.3,1.2,0.9,0.8,0.8,0.9,1,1.1,5.2,5.7,6.4,6.8,7.7,8.1,7.3,5.9,4.7,4.8,3.2,2.3,1.3,0.6,5.3,6.1,6.2,1.2,1.1,1.2,1.1,0.7,0.6,0.7,1,1,1,5.4,6.1,6.7,7.1,7.7,8,7.1,5.5,4.9,5,3.5,2.8,1.9,1.2
E07000098,Hertsmere,6.8,7.2,7.3,1.4,1.3,1.4,1.3,0.8,0.7,0.8,1.1,1.2,1.2,5.6,5.9,6.5,6.6,6.7,7.2,6.6,5.6,4.5,4.7,3.1,2.4,1.4,0.8,6,6.7,6.3,1.2,1.2,1.1,1.1,0.6,0.7,0.8,1,1,1.2,5.4,6.1,7.1,6.7,6.9,7.2,6.6,5.3,4.7,5,3.6,2.9,2.1,1.5
E07000099,North Hertfordshire,6.1,6.9,6.2,1.2,1.1,1.1,1.1,0.7,0.8,0.8,1,1,1.1,5.7,6.1,6.9,7.1,7.4,7.4,6.9,5.6,4.9,4.7,3.4,2.6,1.5,0.6,5.6,6.3,5.9,1.1,1,1,1,0.7,0.7,0.6,0.9,1,1,5.3,6.2,7.5,6.9,7.3,7.4,6.5,5.4,5,5.1,3.8,3.1,2.2,1.4
E07000240,St Albans,6.6,7.8,7.8,1.4,1.3,1.3,1.2,0.7,0.5,0.7,0.8,1,1,4.8,5.6,6.7,7.9,8,7.6,6.5,4.9,4.3,4.1,2.9,2.3,1.5,0.7,6,7,7,1.3,1.2,1.1,1.1,0.5,0.4,0.6,0.8,1,1,4.9,6,7.3,7.9,7.7,7.3,6.3,5,4.5,4.6,3.3,2.7,1.9,1.4
E07000243,Stevenage,6.9,7.2,6.5,1.2,1.2,1.1,1.1,1.1,0.9,1,1.2,1.3,1.3,7.1,7.7,7.3,6.2,6.3,7.2,6.8,5.7,4.1,3.7,2.5,1.9,1.1,0.5,6.3,6.8,5.7,1.1,1,1,0.9,0.8,0.7,1,0.9,1.3,1.2,6.8,8.1,7.4,6.4,6.5,7.2,6.7,5.3,4.1,4,2.9,2.7,1.9,1.2
E07000102,Three Rivers,6,7.1,7.1,1.3,1.3,1.1,1.3,0.9,0.8,0.9,1,1.1,1,5.6,5.4,6.6,7.4,7.3,7.6,7,5.5,4.7,4.6,3.1,2.3,1.4,0.7,5.4,6.6,6.3,1.3,1.2,1.1,1.1,0.6,0.6,0.7,0.9,1,1,5.5,5.6,7.5,7,7.3,7.5,6.8,5.5,4.8,4.9,3.5,2.9,2,1.4
E07000103,Watford,7.4,7.3,6.9,1.3,1.2,1.2,1.2,0.9,0.9,1,1,1.1,1.2,6.5,8.1,8.6,8,7.3,6.6,5.8,4.5,3.5,3.2,2.2,1.7,1.1,0.4,6.9,7.3,6.5,1.1,1.1,1,1,0.8,0.8,0.8,1.2,1.1,1.1,6.9,8.3,9.1,7.4,7,6.4,5.4,4.4,3.8,3.5,2.6,2.3,1.4,1
E07000241,Welwyn Hatfield,5.9,6.6,6,1.1,0.9,1.1,1.1,1.7,2.1,2.2,2.1,1.8,1.7,8.7,7.1,6.8,6,6,6.1,5.9,4.9,4,3.6,2.5,2,1.4,0.6,5.5,6.2,5.5,1,1.1,1,1.2,1.9,2.3,2.2,2,1.8,1.8,7.4,7,6.8,5.9,5.9,6.1,5.9,4.7,3.9,3.9,3.1,2.6,1.9,1.4
E07000143,Breckland,5.5,5.9,5.8,1,1,0.9,1,0.9,0.9,1,1,1.1,1.2,5.7,6,5.6,5,6.3,7,7.2,6.3,6.2,6.8,4.7,3.3,1.8,0.8,5,5.6,5.1,0.9,0.9,1,0.9,0.8,0.7,0.8,0.9,1.1,1,5.2,5.8,5.4,5.2,6.4,7.2,7.1,6.5,6.6,7.1,4.8,3.7,2.5,1.8
E07000144,Broadland,4.9,5.7,5.8,1,1.1,1,1.1,0.8,0.8,0.8,0.9,1,1,4.9,5.2,5.4,5.7,7,7.7,7.3,6.5,6.3,6.9,4.8,3.5,2,0.8,4.3,5,5.2,1,1,1,1,0.7,0.7,0.7,0.9,0.9,0.9,4.7,5.3,5.6,5.7,6.9,7.6,7.2,6.6,6.6,7.2,5,4,2.7,1.8
E07000145,Great Yarmouth,5.7,6.1,5.8,1,1.1,1.1,1.1,1.1,1,1.1,1,1.3,1.2,5.7,5.9,5.6,5,5.9,6.7,6.9,6.4,6.4,6.9,4.7,2.9,1.7,0.8,5.1,5.6,5.4,1.1,1,1,1,0.9,1,0.8,1.1,1.2,1.1,5.1,5.6,5.4,4.8,6.1,7.4,7.2,6.5,6.5,6.8,4.9,3.4,2.4,1.7
E07000146,King's Lynn and West Norfolk,5.6,5.9,5.7,1.1,1,1,1,0.9,0.8,1,0.9,0.9,1,5.3,5.7,5.3,5.1,6,7.2,7.3,6.4,6.5,7.1,5,3.5,1.9,0.8,5,5.8,5.1,1,0.9,0.9,1,0.7,0.7,0.8,0.8,0.9,1,4.5,5.5,5.4,4.9,6.3,7,7.2,6.9,6.8,7.4,5.3,3.9,2.5,1.5
E07000147,North Norfolk,4,4.8,4.9,1,1,0.9,0.9,0.7,0.7,0.8,0.9,1,0.9,4.3,4.4,4.5,4.4,5.7,6.8,7.6,7.9,8.4,9.2,6.1,4.5,2.6,1.1,3.6,4.4,4.3,0.8,0.8,0.8,0.8,0.7,0.6,0.6,0.8,0.9,0.9,3.9,4.4,4.4,4.2,5.7,7,8,8,8.4,8.9,6.4,5,3.3,2.5
E07000148,Norwich,5.5,5.9,5.2,0.9,0.9,0.9,1.2,2.5,2.7,2.7,2.3,2,1.9,10.1,8.1,7.1,5.3,5.9,5.9,5.3,4.2,3.8,3.6,2.6,1.9,1.1,0.7,5.3,5.4,4.9,0.8,0.8,0.8,1.3,2.9,3.4,3.1,2.6,2.1,1.8,9.1,7.4,6.4,5.2,5.3,5.5,4.9,4.5,4.1,4.1,3,2.3,1.8,1.2
E07000149,South Norfolk,5.5,6,6.3,1.3,1.1,1.1,1.1,0.9,0.8,0.8,1,0.9,1,4.8,5,5.8,6,7,7.3,7,6.1,6.1,6.6,4.6,3.3,1.7,0.8,4.9,5.8,5.5,1,1,1,1.1,0.7,0.6,0.7,0.8,0.9,1,4.9,5.5,6.1,5.8,7,7.3,7.1,6.4,6.1,6.7,4.7,3.5,2.4,1.5
E07000200,Babergh,4.7,5.7,6.1,1.2,1.1,1,1,0.9,0.9,0.8,1,1,1,4.6,4.7,4.9,5.3,7,7.8,7.6,6.5,6.6,7.2,5,3.5,1.9,0.9,4.3,5.2,5.5,1.3,1.1,1.1,1,0.8,0.7,0.8,0.8,0.9,0.9,4.4,4.7,5.2,5.3,6.8,7.8,7.3,6.8,6.8,7.5,5.2,3.7,2.5,1.9
E07000244,East Suffolk,4.8,5.7,5.9,1.1,1.1,1.1,1,0.9,0.9,0.8,1,1,1,5.1,4.8,4.8,5,6.4,7.3,7.3,6.8,6.8,7.6,5.1,3.6,2.1,1,4.3,5.2,5.5,1.1,1,1,1,0.8,0.6,0.8,0.9,0.8,0.9,4.5,4.8,4.9,5,6.4,7.3,7.4,6.9,7,7.6,5.3,4.1,2.8,1.9
E07000202,Ipswich,6.7,6.7,6.3,1.2,1.1,1.1,1.2,1.1,1.1,1.1,1.2,1.3,1.4,7.1,7.8,7.5,6.2,6.5,6.8,5.9,5.3,4.5,4.2,2.7,2.1,1.2,0.7,6.6,6.6,5.7,1,1,1,1,1.1,0.9,0.9,1.1,1.1,1.4,7.3,7.6,7,6.1,6.5,6.4,6.1,5.4,5,4.4,3,2.7,1.8,1.3
E07000203,Mid Suffolk,4.5,5.6,6,1.3,1,1.1,1.1,0.9,0.8,0.9,0.9,1.1,1,5.3,5.4,5.6,5.2,6.8,7.8,7.6,6.7,6.7,6.9,4.7,3,1.5,0.8,4.2,5.2,5.7,1.1,1.1,1,0.9,0.7,0.7,0.7,0.8,0.9,0.9,4.9,5.4,5.5,5.5,6.7,8,7.4,6.9,6.7,6.9,4.7,3.4,2.3,1.5
E07000245,West Suffolk,6.2,6.8,5.8,1.1,1,1,1,0.8,0.9,1.1,1.2,1.2,1.3,7,7.4,6.7,5.4,6.1,6.7,6.5,5.3,5.2,5.5,3.7,2.8,1.5,0.8,6,6.2,5.6,1.1,1,0.9,0.9,0.7,0.7,0.9,1.1,1,1.2,6.1,6.7,6.2,5.3,6.1,7,6.5,5.7,5.5,6.2,4.3,3.2,2.1,1.6
E09000007,Camden,5.3,5.9,5.4,1,1,1,1.1,1.5,1.5,1.5,1.7,1.8,1.9,11,10.8,9,6.9,6.3,5.8,4.8,4,3.2,2.9,1.9,1.3,0.8,0.5,5.2,5.8,5.2,1,1,1,1.1,1.5,1.6,1.7,1.7,1.9,2,10.9,9.7,7.6,6.7,6.5,5.9,4.8,3.9,3.5,3.4,2.4,1.8,1.2,0.9
E09000001,City of London,4.6,5.4,4,0.6,0.5,0.7,0.6,0.6,1,1.4,1.7,2.1,2.3,9.7,7.9,8.1,5.6,7,8,7,5.5,5,4,2.8,1.9,0.9,1.1,4.9,5.9,4.6,0.8,0.8,0.7,1.1,0.8,1.7,1.6,1.8,1.7,3.1,12.4,5.8,4.5,5.3,6.2,6.5,5.9,5.5,5.1,5.1,3,2.5,1.3,1.3
E09000012,Hackney,7.3,6.7,5.9,1.1,1.1,1,1,1,0.9,1,1.1,1.3,1.5,9.5,13.2,12.5,8,6,5.2,4.2,3.3,2.4,1.7,1.2,0.9,0.5,0.3,7.1,6.4,5.7,1,1,1,1,0.9,0.9,1,1.2,1.4,1.6,11.4,13.6,9.8,7.1,5.9,5.5,4.6,3.5,2.6,2.1,1.4,1.1,0.6,0.5
E09000013,Hammersmith and Fulham,6.2,6.3,5.5,0.8,0.8,0.9,0.9,0.9,1.3,1.5,1.7,1.5,1.8,10,10.6,9.3,8,7.1,6.3,5.2,3.7,2.9,2.6,1.9,1.2,0.7,0.4,5.9,5.9,5.1,0.9,0.9,0.8,0.9,0.8,1,1.4,1.8,2,2.2,10.2,9.6,7.8,7.2,7.2,6.5,5.5,4.2,3.6,3.2,2.2,1.7,1,0.6
